,table_1,table_2,column_table_1,column_table_2,match_value
0,Silvestri-value.today.json,Gren-disfold.com.json,country,country,0.8374457
1,Silvestri-value.today.json,Gren-disfold.com.json,sector,sector,0.8346883
2,Silvestri-value.today.json,Gren-disfold.com.json,name,name,0.82799184
3,Silvestri-value.today.json,Gren-disfold.com.json,market_value_jan_2020,market_capitalization_USD,0.36247236
4,Silvestri-value.today.json,Gren-disfold.com.json,market_value_jan_2021,market_capitalization_USD,0.36247236
5,Silvestri-value.today.json,Gren-disfold.com.json,market_value_jan_2022,market_capitalization_USD,0.36247236
6,Silvestri-value.today.json,Wissel-ariregister.rik.ee.json,name,Name,0.7540615
7,Silvestri-value.today.json,Wissel-ariregister.rik.ee.json,country,Code_y,0.3553157
8,Silvestri-value.today.json,MalPatSaj-disfold.com.json,country,Country,0.83725405
9,Silvestri-value.today.json,MalPatSaj-disfold.com.json,sector,Sector,0.8344966
10,Silvestri-value.today.json,MalPatSaj-disfold.com.json,name,Name,0.82780015
11,Silvestri-value.today.json,MalPatSaj-disfold.com.json,market_value_jan_2020,MarketCap,0.41784224
12,Silvestri-value.today.json,MalPatSaj-disfold.com.json,market_value_jan_2021,MarketCap,0.41784224
13,Silvestri-value.today.json,MalPatSaj-disfold.com.json,market_value_jan_2022,MarketCap,0.41784224
14,Silvestri-value.today.json,DDD-ft.com.json,country,country,0.8415465
15,Silvestri-value.today.json,DDD-ft.com.json,sector,sector,0.8387891
16,Silvestri-value.today.json,DDD-ft.com.json,name,name,0.83209264
17,Silvestri-value.today.json,DDD-ft.com.json,revenue_2022,revenue_2020_euro,0.6356641
18,Silvestri-value.today.json,DDD-ft.com.json,employees_2022,number_of_employees_2020,0.5441206
19,Silvestri-value.today.json,DeBiGa-globaldata.json,name,name,0.79063565
20,Silvestri-value.today.json,DeBiGa-globaldata.json,revenue_2022,revenue,0.56522155
21,Silvestri-value.today.json,DeBiGa-globaldata.json,market_value_jan_2020,market_cap,0.41185415
22,Silvestri-value.today.json,DeBiGa-globaldata.json,market_value_jan_2021,market_cap,0.41185415
23,Silvestri-value.today.json,DeBiGa-globaldata.json,market_value_jan_2022,market_cap,0.41185415
24,Silvestri-value.today.json,DeBiGa-globaldata.json,employees_2022,number_of_employees,0.4060378
25,Silvestri-value.today.json,DeBiGa-globaldata.json,country,industry,0.3806733
26,Silvestri-value.today.json,DeBiGa-globaldata.json,sector,address,0.24393971
27,Silvestri-value.today.json,IGMM-disfold.json,country,country,0.84961236
28,Silvestri-value.today.json,IGMM-disfold.json,sector,sector,0.8468549
29,Silvestri-value.today.json,IGMM-disfold.json,name,name,0.84015846
30,Silvestri-value.today.json,IGMM-disfold.json,ceo,ceo,0.83603764
31,Silvestri-value.today.json,IGMM-disfold.json,employees_2022,employees,0.63985395
32,Silvestri-value.today.json,IGMM-disfold.json,revenue_2022,revenue,0.6147444
33,Silvestri-value.today.json,IGMM-disfold.json,market_value_jan_2020,marketcap,0.43020055
34,Silvestri-value.today.json,IGMM-disfold.json,market_value_jan_2021,marketcap,0.43020055
35,Silvestri-value.today.json,IGMM-disfold.json,market_value_jan_2022,marketcap,0.43020055
36,Silvestri-value.today.json,Gren-value.today.json,name,name,0.81103253
37,Silvestri-value.today.json,Gren-value.today.json,ceo,CEO,0.8069117
38,Silvestri-value.today.json,Gren-value.today.json,employees_2022,employees_number,0.55872166
39,Silvestri-value.today.json,Gren-value.today.json,market_value_jan_2022,market_capitalization_2022,0.50383437
40,Silvestri-value.today.json,Gren-value.today.json,country,headquarters_country,0.4787083
41,Silvestri-value.today.json,Gren-value.today.json,revenue_2022,annual_revenue_USD,0.42107454
42,Silvestri-value.today.json,Silvestri-disfold.com.json,country,country,0.8795697
43,Silvestri-value.today.json,Silvestri-disfold.com.json,sector,sector,0.87681234
44,Silvestri-value.today.json,Silvestri-disfold.com.json,name,name,0.8701159
45,Silvestri-value.today.json,Silvestri-disfold.com.json,market_value_jan_2022,market_value_apr_2022,0.7504756
46,Silvestri-value.today.json,Gren-ft.com.json,country,country,0.8618617
47,Silvestri-value.today.json,Gren-ft.com.json,sector,sector,0.8591043
48,Silvestri-value.today.json,Gren-ft.com.json,name,name,0.8524078
49,Silvestri-value.today.json,Gren-ft.com.json,revenue_2022,revenue_2020_EU,0.684731
50,Silvestri-value.today.json,Gren-ft.com.json,employees_2022,employees_number_2020,0.6182171
51,Silvestri-value.today.json,MarScoToc-disfold.com.json,country,Country,0.8328655
52,Silvestri-value.today.json,MarScoToc-disfold.com.json,sector,Sector,0.8301081
53,Silvestri-value.today.json,MarScoToc-disfold.com.json,name,Name,0.82341164
54,Silvestri-value.today.json,MarScoToc-disfold.com.json,market_value_jan_2020,MasterCap,0.25580662
55,Silvestri-value.today.json,MarScoToc-disfold.com.json,market_value_jan_2021,MasterCap,0.25580662
56,Silvestri-value.today.json,MarScoToc-disfold.com.json,market_value_jan_2022,MasterCap,0.25580662
57,Silvestri-value.today.json,MarScoToc-wikipedia.org.json,name,Name,0.75027525
58,Silvestri-value.today.json,MarScoToc-wikipedia.org.json,country,Industry,0.34031293
59,Silvestri-value.today.json,MarScoToc-wikipedia.org.json,sector,headQuarters,0.17824866
60,Silvestri-value.today.json,Slytherin-disfold.com.json,name,name,0.8176346
61,Silvestri-value.today.json,Slytherin-disfold.com.json,ceo,ceo,0.81351376
62,Silvestri-value.today.json,Slytherin-disfold.com.json,employees_2022,employees,0.6173301
63,Silvestri-value.today.json,Slytherin-disfold.com.json,market_value_jan_2020,market_cap,0.4388531
64,Silvestri-value.today.json,Slytherin-disfold.com.json,market_value_jan_2021,market_cap,0.4388531
65,Silvestri-value.today.json,Slytherin-disfold.com.json,market_value_jan_2022,market_cap,0.4388531
